,Unnamed: 0,text,intent,intentId,labels,scores
52,411,"If you use a feed reader such as Google Reader , you can subscribe to the RSS feed of the twitter user you want to ""follow"". Basically, it'll be like visiting their Twitter page, but you won't show up as a ""follower"" on Twitter.",How can I follow someone on Twitter without them knowing?,25,24,5
53,1539,How does facebook decide which users to suggest as potential friends for me?,How does the Facebook friend finder operate?,100,99,5
54,1823,Sites where there are online interpreters to test my code in.,"What online computer language interpreters are available, so I can practice programming from my iPhone? [closed]",116,115,5
55,1129,"Currently you cannot add a subtitle/caption track to someone else's video.  However, you can prepare the caption/subtitle file for the video and then share it the author so they can add it to the video (it's simple and I don't think he or she would object since subtitles do not have to be turned on by default).  Since it will be in another language as the video's audio track (and not in English either) you will have to prepare a time-coded subtitle script (or caption file ). There are a number of articles about that available online including a good one to start with on Youtube help site.  Overall guidelines on preparing and adding subtitles to Youtube are available here .",Add subtitles to a video of another user on YouTube,71,70,5
56,840,Zip it up using Winrar or 7zip.  Gmail understands .zip format but not .rar and .7z .,How can I send a Windows executable via Gmail?,52,51,5
57,1507,"You cannot permanently hide them. Some solutions that might help you achieve what you really want, however:   At the bottom left of the web page is a little image that seems to be a quotation mark inside of a chat bubble. Upon click, Hangouts is hidden (but not disabled, and you are not logged out or hidden).  Click on an entry in the Hangouts box to open the old Hangout. Click the settings button (image of a gear). Click the archive button. This does not necessarily remove the conversation from the list, but many times will. (You cannot empty the list by doing this.)",How to hide contacts from Hangouts within Gmail,97,96,5
58,1791,"I'm a bit annoyed by google docs being saved extremely often, is there an option to fix this?",How to disable auto-save in Google Docs?,114,113,5
59,1741,"Google now offers an option to mute sounds:   This setting applies to all Hangouts notifications from Gmail, Google+   and the Chrome extension on the same desktop computer.  Turn sound off for notification sounds   Click menu ▼ at the top of your Hangouts list.  Check the box next to ""Mute.""    From: Google Hangouts - Turn off notification sounds",How do you disable the notification alert sounds in the new Google Hangouts?,111,110,5
60,1307,How do I stop videos from starting immediately when i click on them on youtube.,How do I disable autoplay on YouTube?,84,83,5
61,1587,"If you're looking for a more intuitive program than Visio, LucidChart is a good option.  It's a HTML5 application that you can pick up very quickly.  LucidChart has very robust UML tools to create sequence diagrams, state diagrams, activity diagrams, etc.",How can I create a simple sequence diagram on the web? [closed],102,101,5
62,1087,Can you recommend a good reverse image search engine?,Reverse image search engine [closed],69,68,5
63,1108,Performing analysis on the file sizes in my dropbox.,How to analyze size of files in Dropbox,70,69,5
64,370,"I and many others have found the plugins don't work but you can create your own blocklist using a browser's native functions.  In Chrome, open Settings and click on Manage Search Engines .  Scroll down to the bottom and add a new search engine. You'll have to add a duplicate Google (call it whatever you like) and make that your default search engine because Chrome won't allow you to modify the search string for its Google entry.  In the right most field the base search string would be something like this (I live in oz) where %s = your search terms:  https://google.com.au/#q=%s  To exclude trash sites from your search, add them after the %s in URL format,  excluding 'Junk Site' and 'Spam Factory' would be:  https://google.com.au/#q=%s+-%22Junk+Site%22+-%22Spam+Factory%22  If you use Chrome's Omnibox (the URL / search bar at the top) it will automatically append this to your searches, e.g., -""Junk Site"" -""Spam Factory"" . If you use Google's search box (the one between ""Google"" and the little microphone) your search it won't, i.e., your search will be unfiltered.",Is there a way to remove sites permanently from (my personal) Google search results?,22,21,5
65,549,Replicating identical search results on google on a different computer.,How do I share a search query from Google?,34,33,5
66,238,How do I forward multiple gmails in gmail.,How to forward multiple emails in Gmail,14,13,5
67,1145,How can I specify via gmail that a certain mail is very urgent?,Send urgent mail in Gmail,72,71,5
68,1107,Getting an summary on the size of files and folders in my dropbox.,How to analyze size of files in Dropbox,70,69,5
69,794,What would you recommend as a solution for sending faxes over the internet?,How can I send a fax online? [closed],49,48,5
70,1744,How does facebook generate results when you search for a name?,How does Facebook guess results when you search for someone?,112,111,5
71,1707,Downloading and backing up my private messages from facebook.,How can I download all messages from Facebook?,109,108,5
72,405,Can I secretly follow someone on twitter.,How can I follow someone on Twitter without them knowing?,25,24,5
73,653,"Side note: If you are leaving a comment on the video you can't use the full link (Youtube bans all links in comments), but you can use a simple ""mm:ss"" format in your comment on Youtube to automatically create a link to that point in the video . I haven't seen this documented anywhere but it comes in handy for quick links. Also it uses Javascript instead of the #t= anchor so you can make multiple time references and click on them really fast to create quick mash-ups or loop the video at a specific point.",Linking directly to a specific point in time of a YouTube video,40,39,5
74,678,Finding out from where users are accessing my github repo.,Is there any way to see traffic sources to a Github project?,42,41,5
75,181,"I am one of the authors of BackupGoo . We also wanted to have a secure offline copy of our data. BackupGoo is really simple to use and backups all your stuff from Google to your local harddrive in widely-used formats. This includes e.g. GMail, Google Docs, Google Reader. GMail for instance is saved as plain text ""Mime-Message"" that can be viewed in any text editor or offline email client.",Export Gmail messages to text or HTML files,10,9,5
76,1570,"I don't need all the complexities of microsoft visio, is there maybe a web app for drawing simple diagrams?",How can I create a simple sequence diagram on the web? [closed],102,101,5
77,125,"Internet Download Manager also supports this (enable ""Advanced Browser Integration"")",How do I download a YouTube video?,8,7,5
78,1104,Does dropbox offer any kind of storage space analysis on my files?,How to analyze size of files in Dropbox,70,69,5
79,891,How can I say that a card is done on trello without changing the list where it is?,How can I mark a card in Trello as done and keep it in the original list?,56,55,5
80,1220,"I have multiple addresses in gmail, I'd like my default reply address be the same one that was on the mail I'm replying to, is this supported in gmail?","In Gmail, can I base my “send from” address on a filter?",78,77,5
81,1253,Where are archived mails actually kept in gmail?,Where do my emails go when I click on 'Archive' in Gmail?,80,79,5
82,782,"One way is to log in using a mail client that supports IMAP . You can then export the emails to a backup location, but this is a bit laborious.  If you want a continuous backup, you could try something like imapsync . This would require you to run your own backup IMAP server and schedule a regular task to perform the synchronisation.  Edit : Preserving labels should work fine, but not quite in the way that Gmail handles them. I've not seen any IMAP or POP3 servers which handle the Gmail label system properly. Gmail presents each tag as a separate folder through IMAP, so as far as the user is concerned, the message exists in several places. (In fact, the inbox is just another label). If you synchronise your account to another IMAP server, you will essentially have multiple copies of the same message.",How can I back up all emails stored in my Gmail account?,48,47,5
83,1150,"I'd like to browse only the messages in the archive in gmail, is this possible?",Can I see only mail I have archived in Gmail?,73,72,5
84,1355,I'd like to get rid of entries on my github activity feed.,How do I delete entries from my GitHub Activity Feed?,87,86,5
85,194,"I've heard facebook can detect if you're logged into your gmail account, is this true?",Facebook detects if you are logged in Gmail,11,10,5
86,1754,"I don't know for certain (I don't work for Facebook!), but from my experience it seems to bring back results in (approximately) the following order:   From your friends  From your friends friends  People with common interests (liked pages, shared groups etc.)   After this it starts to become more guesswork, but I suspect that home town, shared work places etc all come into play as well.  With more than 500 million users there's a lot of data and existing connections they can use to base their heuristics on",How does Facebook guess results when you search for someone?,112,111,5
87,1540,How does facebook detect potential friends for me?,How does the Facebook friend finder operate?,100,99,5
88,409,Is it an option to silently follow someone on twitter without them being aware of this.,How can I follow someone on Twitter without them knowing?,25,24,5
89,1151,"I need to find a message that is archived, can I restrict my search to look only in archived mail?",Can I see only mail I have archived in Gmail?,73,72,5
90,1171,You could also try an RSS-to-email solution. You can get a user's tweets in RSS from:  http://api.twitter.com/1/statuses/user_timeline.rss?screen_name=USERNAME  Or a hashtag search from:  http://search.twitter.com/search.rss?q=%23HASHTAG  Then an RSS-to-email service like http://www.feedmyinbox.com/ . (Note: I've never used this—it was the first hit on a Google search.),Is there a way to get email notifications when someone tweets?,74,73,5
91,486,"I do not want google drive to display the files inside my zip files but to just give a download option, is there a way to achieve this?","In Google Drive, how can you link directly to “Download” a zip file and not view the contents?",30,29,5
92,963,What are the legal considerations of hosting a for-profit web site on github?,Am I allowed to host a commerical website on Github Pages?,60,59,5
93,949,"To a college student, are there any significant advantages of MS Office over google docs?",Are there any important features from Microsoft Office that a college student would miss if he switched entirely over to Google Docs? [closed],59,58,5
94,654,How can I see the parent directory of a google document.,How to view the parent folder of a Google Document?,41,40,5
95,1766,I'm looking for an online tool that would allow me to keep track of books.,Are there any web apps that can keep track of collections of books or movies? [closed],113,112,5
96,101,"It's not a webapp answer, but I use a program called PureText . It just sits in your system tray and provides a hotkey (configurable) that will paste the current clipboard contents as plain text. I absolutely love this feature. I have it set to WINDOWS+v","Gmail & Google Docs: Paste just the text, not the formatting (Firefox, Safari)",7,6,5
97,749,"I have written a simple Python script that can tag your files with folder, after which you can easily search by folder just by typing folder:folder_name or folder:absolute_path . You can get my code from here: https://github.com/songxf/drive-search-by-folder","In Google Drive, is there a way to search files located in a particular folder?",46,45,5
98,1015,"Yes, Just go their channel, hit the about tab, send them a message and it tells you it has been sent and when you subscribed.",How can I find out when I subscribed to a YouTube channel?,63,62,5
99,1765,"I finally figured out the Facebook search bar trick!! So for years there's been this rumor that the search bar is the key to finding out who views your FB. They say it's just a legend... Not really!! So legend has it that if you type in a letter, the first result is either the person you searched for/looked at last... Or if you never have, that person has looked at you! Or they search for you frequently, or both.  ( It also works based on interaction, for friends especially, but I have found this to work for friends who never interact with you, as well as friends of friends who have never had interaction.)  So I conducted a little experiment and found out that the trick does work - but ONLY IF YOU'RE BOTH SEARCHING  for each other! That's the missing link. I had someone view me... Nothing. They were still in position 4 down from the top. I search for someone else, who has not viewed me, and nothing - they're still a low result. But then I search for the person who viewed me on the same day, and boom! Less than 3 hours later, they were result number one when I typed in their first or last name initials!! Incidently, this works for friends, or friends of friends, even those who only have one mutual friend in common with you!  (Important: don't try to cheat by partially typing their name. First initial only, for first or last names! Also, this works for the full-site FB, which I use on my phone as a modification to the mobile FB. It does not work with the iPhone app.)  If you search for someone, friend or not, they will still show in your top 5 results for up to a day or so, then they rank lower and not even show in your top 3 if you don't search again. If you search for someone and they instantly (about 3 hours later) rank 1st after that, they've been searching for/looking at you too! If they eventually drop in ranking, either another one of your friends with the same initials interacted with you recently, or you're the only interested party...  Of course, this will be difficult to track if you're stalking them and click on them several times a day, LOL! But I've found that one single search is enough to set it off. ( I keep track of my searches by using the search log. Clearing your searches can throw off results after a couple of hours, too.) I've tried this experiment on multiple days... Same results. (In case you're wondering where I find the time, the answer is that I don't sleep a lot!)",How does Facebook guess results when you search for someone?,112,111,5
100,1892,Email encryption gmail.,How can I encrypt emails sent through Gmail?,120,119,5
101,11,I just used the following syntax  <del> ... </del>   successfully on GitHub in an issue description.,Strikethrough with GitHub Markdown,1,0,5
102,755,"I find the default twenty mails I get from gmail search to small, how can I increase it?",How to set up Gmail to show more than 20 results per page when searching?,47,46,5
103,1819,"I'm looking for online interpreting sites, where I could write in my code and see the results in order to practice.","What online computer language interpreters are available, so I can practice programming from my iPhone? [closed]",116,115,5
104,1884,"I'm very worried someone might read my important mails, what security features does gmail offer?",How can I encrypt emails sent through Gmail?,120,119,5
105,432,"You can also use SocialSafe to backup the content of your Twitter account. Again, it is restricted by the API limit of the most recent 3,200 tweets when you start backing up, but as others have said, the sooner the start backing up the less you'll miss. All of the content is stored on your own PC/Mac, so you aren't sharing your data with anyone.  SocialSafe backs up the following:   Tweets  Mentions  DMs  Favourites  Followers  Following  Profile information   There is a free trial available that allows you full usage of SocialSafe, which also includes the capability of exporting to CSV. You can download the PC/Mac installer from the SocialSafe website .  Hope this helps.",How can I backup all of my tweets?,26,25,5
106,640,"I put together a redirect for searching just 'back n days' that does the simple (and for me, most common use case)  Writing a search for ‘inbox NOT including today’ is slightly counterintuitive and somewhat of a pain so I put together a custom redirect of my own that brings up the stuff from yesterday:  http://joereddington.com/back/0   That redirects you to your inbox with a custom search string, showing only those emails that turned up before today. It’s parameterisable so  http://joereddington.com/back/4   takes you back four days and  http://joereddington.com/back/10   takes you back ten days  Code, screenshots, and reasoning are all at http://joereddington.com/4008/2014/08/04/gmail-for-yesterdays-jobs/",How can I search for Gmail messages on a particular date?,39,38,5
107,66,"IMPORTRANGE() appears to be the function you want.  From the Google spreadsheets function list :   Google Spreadsheets lets you reference   another workbook in the spreadsheet   that you're currently editing by using   the ImportRange function. ImportRange   lets you pull one or more cell values   from one spreadsheet into another. To   create your own ImportRange formulas,   enter =importRange(spreadsheet-key,   range). For languages where comma is   used for decimal separation, use a   semicolon instead of a comma to   separate arguments in your formula.  Spreadsheet-key is a STRING which is   the key value from the spreadsheet   URL.  Range is a STRING representing the   range of cells you want to import,   optionally including the sheet name   (defaults to first sheet). You can   also use a range name if you prefer.  Given that the two arguments are   STRINGs, you need to enclose them in   quotes or refer to cells which have   string values in them.  For example:  =importrange(""abcd123abcd123"", ""sheet1!A1:C10"") ""abcd123abcd123"" is   the value in the ""key="" attribute on   the URL of the target spreadsheet and   ""sheet1!A1:C10"" is the range which is   desired to be imported.  =importrange(A1,B1) Cell A1 contains the string ABCD123ABCD123 and cell B1   contains sheet1!A1:C10  Note: In order to use ImportRange, you   need to have been added as a viewer or   collaborator to the spreadsheet from   which ImportRange is pulling the data.   Otherwise, you'll get this error:   ""#REF! error: The requested   spreadsheet key, sheet title, or cell   range was not found.""   ""key"" is of course the string in the URL for the spreadsheet that matches to the key= parameter.  I just tested it by creating two spreadsheets. In cell A1 of the first I put a string. In cell A1 of the second I put =importRange(""tgR2P4UTz_KT0Lc270Ijb_A"",""A1"") and it displayed the string from the first spreadsheet. (Your key will obviously be different.)  (The format of the function may depend on your locale. In France the formula is not valid with a comma, so you'll need to be replace it with a semi-colon: =importRange(""tgR2P4UTz_KT0Lc270Ijb_A"";""A1"") )  NOTES:   Google currently sets a hard limit of 50 ""cross-workbook reference formulas"" per spreadsheet. Source: Google Docs, Sheets, and Slides size limits . (h/t JJ Rohrer )  The ""new"" Google Spreadsheet (soon to be the standard) removes the 50 limit of 50 ""cross-workbook reference formulas ( Google Support ) (h/t Jacob Jan Tuinstra )   In the ""new"" Google Sheets you also use the entire URL as the key ( Google Support ) (h/t Punchlinern )",How do I link a cell in Google Spreadsheets to a cell in another document?,5,4,5
108,62,I have a cell in a google spreadsheet and I want to link it to another cell from a different google sheet is this possible?,How do I link a cell in Google Spreadsheets to a cell in another document?,5,4,5
109,578,How do I send people a vimeo clip but with a predefined point where in the video to start.,Is it possible to link to a specific portion of a Vimeo video?,36,35,5
110,923,"Based off of @jacob-jan-tuinstra's answer. Made some minor modifications to suit my needs perhaps others would find it useful.  Uses search, doesn't break up by labels and also does chunking for large inboxes.  The part that says 'YOUR GMAIL SEARCH QUERY GOES HERE' can be filled with any query you would use in your inbox.  function getEmails() {   // set spreadsheet and retrieve labels   var query = 'YOUR GMAIL SEARCH QUERY GOES HERE',     ss = SpreadsheetApp.getActiveSpreadsheet(),     sh = ss.getSheetByName(query) || ss.insertSheet(query, ss.getSheets().length),     uniqueEmails = {},     errors = [],     // max chunk size     chunkSize = 500,     currentChunk = 0,     threads,     messages,     i,     j,     k,     msg,     tos;   sh.clear();   while (currentChunk === 0 || threads.length === chunkSize) {     try {       // grab threads that match the query one chunk at a time       threads = GmailApp.search(query, chunkSize  currentChunk, chunkSize);       // grab corresponding messages from the threads       messages = GmailApp.getMessagesForThreads(threads);       for (i = 0; i < messages.length; i++) {         msg = messages[i];         for (j = 0; j < msg.length; j++) {           // get the from           uniqueEmails[msg[j].getFrom()] = true;           // get the reply to           uniqueEmails[msg[j].getReplyTo()] = true;           // grab from the to field as well           // this has a bug for people with commas in their names           // tos = msg[j].getTo().split(',');           // for (k = 0; k < tos.length; k++) {           //  uniqueEmails[tos[k]] = true;           // }         }       }       currentChunk += 1;     } catch (e) {       errors.push(e);     }   }   // create 2D-array   var aUnique = [];   for (k in uniqueEmails) {     aUnique.push([k]);   }    // add data to corresponding sheet   sh.getRange(1, 1, aUnique.length, 1).setValues(aUnique); }",Get e-mail addresses from Gmail messages received,57,56,5
111,1567,May be this can be of help: http://www.worldtimebuddy.com/  Feature overview:  http://www.worldtimebuddy.com/features,What is a good webapp for finding the best meeting time for a group of people? [closed],101,100,5
112,519,"I want to have my own instance of trello, is this possible?",Can I host my own instance of Trello?,32,31,5
113,1809,"I need to set ownership for all files an folders in a particular google drive folder, is there a way?",How can I recursively set ownership of Google Drive files and folders?,115,114,5
114,1514,Finding out if the receiver has read the mail that i sent.,Did the receiver open the mail?,98,97,5
115,1709,"You can try going to http://m.facebook.com/ and click on ""Messages"".  Select a person to view the history, and click on ""See Older Messages"" once.  Notice that &start= part in the URL, that's the number of received and sent messages minus 7.  Notice the &page_size=7 part in the URL. Currently, Facebook does not limit this number, you can set that to a number bigger than the start value. This makes it disable pagination and displays all the messages it found, except the skipped 7. (If the number's smaller, somehow Facebook will display only 7).   To make it work on Chrome, left click on ""See Older Messages"" and choose ""open in a new tab"" and there you will find the ""page_size="" number to change. (May 2013)",How can I download all messages from Facebook?,109,108,5
116,1467,"Google calendar is spamming me with notifications, can I somehow separate them from the rest of my mails?",Create a Gmail filter for Calendar Notifications,95,94,5
117,340,"If you can remember who is the sender or his mail id or part of his name, try to search with this information in the search box on the top of the page.",How do I retrieve a message I accidentally archived in Gmail?,20,19,5
118,1032,How can I be sure that my posts on facebook will stay private?,How do I ensure that what I post on Facebook stays private?,65,64,5
119,606,"It's great for putting calculations into context for every day use. For example try: 100GB / 400 (users) and you will receive the result not just in GB, but also MB, CDS, DVDS etc.",What is Wolfram Alpha good for? [closed],37,36,5
120,1446,I'd like to find the oldest commit in my github repo.,Date of first commit,94,93,5
121,1261,"I need to find the oldest mail on gmail from my friend, how can I do this?","In Gmail, how can I find the oldest message from a person?",81,80,5
122,1402,Perhaps Atlassian's Confluence is worth your consideration. You can easily create something similar to Google Docs and add far more functionality out of the box.  http://www.atlassian.com/software/confluence/overview,Self-Hosted alternative to Google Docs? [closed],90,89,5
